oid,TableID,ParentTableID,ChildTableID,Name,UserName,ParentTableName,ParentTableUserName,ChildTableName,ChildTableUsername,Description,Namespace,DateCreated,DateModified,IsDeleted,Author
410c1bf0-61f2-4b07-91a5-8bbf04ccf351,410c1bf0-61f2-4b07-91a5-8bbf04ccf351,00000000-0000-0000-0000-000000000000,,AO4SupportOpening_ProjectionDirectionVal,,,,,,,UDP,Nov  5 2013  8:18PM,Nov  5 2013  8:18PM,False,INGRNET\sp3dadminuser1
8b7aa5d3-a8c1-47d1-ba4a-8bcf2c9687d1,8b7aa5d3-a8c1-47d1-ba4a-8bcf2c9687d1,00000000-0000-0000-0000-000000000000,,CurveAtOffset_OrientationVal,,,,,,,UDP,Aug 25 2011 10:23PM,Aug 25 2011 10:23PM,False,INGRNET\sp3dadminuser1
1ae81b6c-6461-40e8-9844-8bd3025d8839,1ae81b6c-6461-40e8-9844-8bd3025d8839,00000000-0000-0000-0000-000000000000,,ElevPlaneType,,,,,,,REFDAT,,,False,
aeb1f812-54db-4b5f-9bc9-8bd5380419d5,aeb1f812-54db-4b5f-9bc9-8bd5380419d5,00000000-0000-0000-0000-000000000000,,hsShoeType,,,,,,,UDP,Aug 25 2011  9:58PM,Jul 23 2013  7:17PM,False,INGRNET\sp3dadminuser1
9f0999a4-2a03-4835-b942-8bffce461b88,9f0999a4-2a03-4835-b942-8bffce461b88,00000000-0000-0000-0000-000000000000,,NutOption,,,,,,,REFDAT,,,False,
f320ac44-a5e7-4c47-9fdb-8c4814275e9f,f320ac44-a5e7-4c47-9fdb-8c4814275e9f,5ec4d353-568b-4864-8b8b-0f6162fb7c5f,,MaterialsType,,MaterialsGroup,,,,,REFDAT,,,False,
3435ea16-2ae8-469b-9d48-8c537516d7b3,3435ea16-2ae8-469b-9d48-8c537516d7b3,00000000-0000-0000-0000-000000000000,,SMProfileProcessShrinkage,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
8af71b17-7fa7-4d6c-a8f9-8c928a7e61bb,8af71b17-7fa7-4d6c-a8f9-8c928a7e61bb,00000000-0000-0000-0000-000000000000,,StrMfgConnectPartFilter,,,,,,,STRMFG,,,False,
e0b426ed-d13f-48b6-8d1d-8c9e32426b59,e0b426ed-d13f-48b6-8d1d-8c9e32426b59,00000000-0000-0000-0000-000000000000,,StrMfgPinJigAlignmentTypes,,,,,,,STRMFG,,,False,
992b2c76-08cb-4792-bb6c-8ca5dbe982d4,992b2c76-08cb-4792-bb6c-8ca5dbe982d4,00000000-0000-0000-0000-000000000000,,SurfacesBySplit_SplitSolutionsVal,,,,,,,UDP,Aug 25 2011 10:23PM,Aug 25 2011 10:23PM,False,INGRNET\sp3dadminuser1
